,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
RAN,8.95E-100,0.3050626,0.97,0.926,2.00E-95,0,RAN
RUNX1,9.74E-98,0.2801929,0.727,0.436,2.18E-93,0,RUNX1
HNRNPA1P48,2.78E-97,0.291657,0.866,0.691,6.22E-93,0,HNRNPA1P48
RAC2,3.89E-97,0.3733001,0.673,0.397,8.69E-93,0,RAC2
SLC25A5,1.12E-96,0.2778771,0.937,0.885,2.50E-92,0,SLC25A5
LSM7,1.29E-96,0.2858736,0.92,0.846,2.88E-92,0,LSM7
RANBP1,3.66E-96,0.3616345,0.934,0.867,8.18E-92,0,RANBP1
LDHA,8.44E-96,0.4346955,0.932,0.797,1.89E-91,0,LDHA
NRP2,2.54E-94,0.3752367,0.435,0.205,5.70E-90,0,NRP2
PFDN2,3.00E-94,0.3437052,0.903,0.809,6.70E-90,0,PFDN2
HDAC2,5.32E-94,0.3330604,0.876,0.72,1.19E-89,0,HDAC2
RSL1D1,1.06E-93,0.3159128,0.873,0.696,2.36E-89,0,RSL1D1
CHCHD10,1.80E-91,0.3347462,0.886,0.783,4.04E-87,0,CHCHD10
LMO4,1.06E-90,0.6309872,0.752,0.531,2.38E-86,0,LMO4
SSB,1.35E-90,0.4047758,0.91,0.802,3.03E-86,0,SSB
GCSH,1.99E-89,0.2898741,0.797,0.6,4.46E-85,0,GCSH
SCD,2.98E-89,0.314092,0.77,0.555,6.68E-85,0,SCD
TMEM97,6.91E-89,0.2620512,0.747,0.508,1.55E-84,0,TMEM97
DCTPP1,6.18E-88,0.2706792,0.823,0.611,1.38E-83,0,DCTPP1
SET,1.12E-87,0.2892408,0.939,0.867,2.50E-83,0,SET
HNRNPH3,2.02E-87,0.3115884,0.852,0.686,4.53E-83,0,HNRNPH3
HNRNPC,2.31E-86,0.2516643,0.947,0.902,5.17E-82,0,HNRNPC
TAF1D,3.94E-86,0.2959289,0.841,0.652,8.82E-82,0,TAF1D
MDH2,4.17E-86,0.2805443,0.889,0.779,9.33E-82,0,MDH2
DKC1,2.11E-85,0.2794656,0.797,0.579,4.71E-81,0,DKC1
ARL2,3.79E-84,0.291044,0.84,0.703,8.49E-80,0,ARL2
CCND1,7.49E-84,0.3129727,0.494,0.256,1.68E-79,0,CCND1
MDK,8.14E-84,0.2814417,0.945,0.87,1.82E-79,0,MDK
CCT5,3.29E-83,0.39199,0.865,0.732,7.37E-79,0,CCT5
HNRNPD,3.74E-83,0.3500398,0.876,0.764,8.37E-79,0,HNRNPD
DDX21,7.71E-83,0.3541687,0.872,0.703,1.73E-78,0,DDX21
UBE2S,2.94E-82,0.4362282,0.812,0.627,6.58E-78,0,UBE2S
TIMP3,8.29E-82,0.2811923,0.86,0.624,1.86E-77,0,TIMP3
JPT1,2.07E-81,0.3370246,0.906,0.808,4.64E-77,0,JPT1
ERH,2.13E-81,0.2739147,0.94,0.886,4.76E-77,0,ERH
GNL3,2.43E-81,0.288634,0.677,0.453,5.43E-77,0,GNL3
TUFM,6.30E-80,0.271562,0.891,0.783,1.41E-75,0,TUFM
RPL22L1,3.46E-79,0.2889863,0.936,0.854,7.75E-75,0,RPL22L1
TXNDC17,1.19E-78,0.2833333,0.887,0.785,2.66E-74,0,TXNDC17
CCT4,1.21E-78,0.31588,0.895,0.789,2.71E-74,0,CCT4
HMGA1,6.31E-78,0.2819023,0.959,0.911,1.41E-73,0,HMGA1
TCP1,6.31E-78,0.3003873,0.871,0.72,1.41E-73,0,TCP1
CCT7,8.50E-78,0.3278466,0.868,0.731,1.90E-73,0,CCT7
HNRNPA2B1,1.32E-77,0.2694404,0.967,0.939,2.96E-73,0,HNRNPA2B1
HNRNPDL,4.38E-77,0.3101456,0.929,0.838,9.80E-73,0,HNRNPDL
EIF4EBP1,1.01E-76,0.2516381,0.895,0.766,2.26E-72,0,EIF4EBP1
SRM,1.86E-76,0.2775417,0.874,0.723,4.17E-72,0,SRM
PPP1CC,2.15E-76,0.2673159,0.857,0.711,4.81E-72,0,PPP1CC
SNRPG,2.15E-76,0.2806832,0.951,0.899,4.82E-72,0,SNRPG
RBM8A,1.01E-75,0.3098712,0.889,0.804,2.26E-71,0,RBM8A
TRAP1,1.03E-75,0.2758185,0.684,0.485,2.30E-71,0,TRAP1
ALYREF,3.79E-75,0.2713012,0.799,0.615,8.48E-71,0,ALYREF
CCT3,4.01E-75,0.2756774,0.899,0.786,8.97E-71,0,CCT3
PARP1,2.70E-74,0.2617352,0.861,0.682,6.05E-70,0,PARP1
SPC25,1.17E-73,0.2654758,0.484,0.259,2.62E-69,0,SPC25
FUS,4.72E-73,0.3115971,0.892,0.8,1.06E-68,0,FUS
COL18A1,7.78E-73,0.3262078,0.768,0.569,1.74E-68,0,COL18A1
SNRPA1,1.09E-72,0.2741697,0.783,0.58,2.43E-68,0,SNRPA1
PGK1,8.20E-72,0.286255,0.914,0.789,1.84E-67,0,PGK1
ILF2,1.71E-71,0.3035765,0.865,0.751,3.83E-67,0,ILF2
EIF3B,4.93E-71,0.2745282,0.712,0.508,1.10E-66,0,EIF3B
HSPA9,2.79E-70,0.260258,0.801,0.611,6.25E-66,0,HSPA9
HNRNPM,1.98E-69,0.32571,0.897,0.788,4.43E-65,0,HNRNPM
CYCS,5.36E-69,0.2619373,0.923,0.837,1.20E-64,0,CYCS
KPNB1,1.18E-68,0.2624378,0.882,0.757,2.64E-64,0,KPNB1
PTBP1,3.29E-68,0.2599436,0.846,0.694,7.37E-64,0,PTBP1
NASP,4.97E-68,0.4190333,0.874,0.738,1.11E-63,0,NASP
STIP1,1.47E-67,0.2578653,0.759,0.576,3.29E-63,0,STIP1
ANP32A,4.47E-67,0.262607,0.88,0.743,1.00E-62,0,ANP32A
PA2G4,7.81E-67,0.3389275,0.92,0.818,1.75E-62,0,PA2G4
EGFL7,2.06E-66,0.3603809,0.842,0.68,4.61E-62,0,EGFL7
ID2,2.40E-66,0.4724768,0.607,0.421,5.38E-62,0,ID2
CD81,1.19E-65,0.2920402,0.723,0.536,2.67E-61,0,CD81
ODC1,1.73E-65,0.28405,0.808,0.643,3.88E-61,0,ODC1
NOP56,4.54E-64,0.2575331,0.822,0.648,1.02E-59,0,NOP56
ATP1B3,2.43E-62,0.3130236,0.831,0.705,5.45E-58,0,ATP1B3
FBL,1.41E-60,0.2625662,0.876,0.764,3.16E-56,0,FBL
SRSF7,1.45E-59,0.2530169,0.901,0.784,3.25E-55,0,SRSF7
XRCC5,5.06E-58,0.286516,0.891,0.778,1.13E-53,0,XRCC5
HSP90AA1,3.67E-49,0.2947889,0.984,0.954,8.22E-45,0,HSP90AA1
EBNA1BP2,7.73E-49,0.2537866,0.731,0.567,1.73E-44,0,EBNA1BP2
CD164,3.17E-48,0.3414319,0.868,0.754,7.10E-44,0,CD164
ARHGDIB,3.52E-48,0.2773577,0.91,0.744,7.88E-44,0,ARHGDIB
AIF1,1.29E-36,0.30649,0.635,0.46,2.89E-32,0,AIF1
TYROBP,3.19E-23,0.3145794,0.511,0.421,7.15E-19,0,TYROBP
