,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
PALLD2,1.52E-48,0.5027584,0.448,0.128,3.40E-44,10,PALLD
PAIP2,1.60E-48,0.8875861,0.857,0.732,3.57E-44,10,PAIP2
RALA1,1.98E-48,0.8916587,0.776,0.512,4.43E-44,10,RALA
ZCCHC14,3.12E-48,0.6591471,0.332,0.077,6.99E-44,10,ZCCHC14
CXCL12,4.72E-48,0.323397,0.202,0.029,1.06E-43,10,CXCL12
1-Jun,6.20E-48,1.0908978,0.623,0.265,1.39E-43,10,JUN
KLF7,7.70E-48,0.4656774,0.448,0.138,1.72E-43,10,KLF7
GNB1,9.09E-48,0.7881847,0.816,0.677,2.03E-43,10,GNB1
FMR1,2.55E-47,0.7871824,0.552,0.229,5.71E-43,10,FMR1
SPTBN11,2.60E-47,0.8788193,0.785,0.502,5.82E-43,10,SPTBN1
UBE2D3,5.95E-47,0.7401738,0.897,0.862,1.33E-42,10,UBE2D3
CLTC,1.92E-46,0.927661,0.821,0.671,4.30E-42,10,CLTC
RPS27A1,2.19E-46,0.4853048,1,0.996,4.90E-42,10,RPS27A
ASAP11,2.25E-46,0.8632671,0.749,0.507,5.03E-42,10,ASAP1
RRBP12,2.27E-46,0.8744269,0.812,0.56,5.07E-42,10,RRBP1
CALM12,2.63E-46,0.9030547,0.919,0.868,5.89E-42,10,CALM1
CSNK1A1,3.63E-46,0.8865883,0.839,0.751,8.13E-42,10,CSNK1A1
SAR1A2,4.79E-46,1.0200184,0.78,0.603,1.07E-41,10,SAR1A
DYNLL13,6.44E-46,0.6172875,0.946,0.94,1.44E-41,10,DYNLL1
EGR1,2.58E-45,1.4916925,0.74,0.482,5.77E-41,10,EGR1
SF3B1,2.71E-45,0.941101,0.803,0.624,6.07E-41,10,SF3B1
RAB1A,3.43E-45,0.8342974,0.834,0.734,7.68E-41,10,RAB1A
QKI,7.72E-45,0.8295274,0.789,0.591,1.73E-40,10,QKI
GPC4,8.95E-45,0.4139628,0.3,0.067,2.00E-40,10,GPC4
HSP90B12,2.40E-44,0.9863651,0.892,0.787,5.37E-40,10,HSP90B1
DNAJA2,5.48E-44,0.8751738,0.753,0.547,1.23E-39,10,DNAJA2
TMEM256,7.06E-44,0.7406292,0.888,0.808,1.58E-39,10,TMEM256
KAT2B,1.21E-43,0.4481221,0.336,0.084,2.71E-39,10,KAT2B
PARP8,1.57E-43,0.4499156,0.291,0.065,3.52E-39,10,PARP8
TPM22,1.65E-43,0.880714,0.919,0.791,3.70E-39,10,TPM2
SGK1,2.15E-43,0.3232113,0.247,0.046,4.81E-39,10,SGK1
GMFB,2.46E-43,0.7207355,0.637,0.336,5.51E-39,10,GMFB
TEAD11,3.46E-43,0.5504099,0.39,0.11,7.75E-39,10,TEAD1
HNRNPF,4.69E-43,0.7729196,0.897,0.841,1.05E-38,10,HNRNPF
GAS1,1.07E-42,0.3890572,0.265,0.055,2.39E-38,10,GAS1
CAMK2G,2.11E-42,0.5913443,0.462,0.168,4.72E-38,10,CAMK2G
PSMD11,2.19E-42,0.8704803,0.785,0.636,4.89E-38,10,PSMD11
CNOT4,2.20E-42,0.7405102,0.646,0.361,4.92E-38,10,CNOT4
TM9SF3,3.92E-42,0.8164391,0.771,0.59,8.77E-38,10,TM9SF3
RPL37A1,4.28E-42,0.4648224,1,0.995,9.59E-38,10,RPL37A
FAM122A,5.00E-42,0.6721481,0.574,0.275,1.12E-37,10,FAM122A
TCF41,5.74E-42,0.853962,0.767,0.494,1.29E-37,10,TCF4
RPS251,1.51E-41,0.4414485,0.987,0.991,3.37E-37,10,RPS25
VCAN1,1.58E-41,0.3939165,0.529,0.18,3.52E-37,10,VCAN
MEX3C,1.73E-41,0.4913063,0.444,0.156,3.87E-37,10,MEX3C
SMAP1,2.83E-41,0.782996,0.749,0.548,6.34E-37,10,SMAP1
ATXN1,3.54E-41,0.4136151,0.323,0.082,7.91E-37,10,ATXN1
MEF2A,5.48E-41,0.9419582,0.583,0.292,1.23E-36,10,MEF2A
ERRFI12,1.34E-40,0.5863425,0.435,0.137,3.00E-36,10,ERRFI1
PPP1R14B1,1.82E-40,0.8051645,0.843,0.78,4.08E-36,10,PPP1R14B
CDC34,2.43E-40,0.8618241,0.74,0.558,5.44E-36,10,CDC34
IGIP,3.27E-40,0.3041165,0.157,0.021,7.33E-36,10,IGIP
HSPE12,4.26E-40,0.6242437,0.955,0.914,9.52E-36,10,HSPE1
ERBIN,7.30E-40,0.8551283,0.637,0.362,1.63E-35,10,ERBIN
KCMF1,9.26E-40,0.7993399,0.659,0.407,2.07E-35,10,KCMF1
PIN4,1.88E-39,0.7902707,0.821,0.723,4.20E-35,10,PIN4
MPP6,3.19E-39,0.5709515,0.453,0.165,7.15E-35,10,MPP6
EIF3H,3.73E-39,0.7202875,0.874,0.861,8.35E-35,10,EIF3H
UBXN1,6.34E-39,0.6923625,0.883,0.814,1.42E-34,10,UBXN1
SAMD4A,1.96E-38,0.2507375,0.256,0.055,4.38E-34,10,SAMD4A
DAZAP21,2.64E-38,0.6471241,0.803,0.655,5.91E-34,10,DAZAP2
WASL,2.88E-38,0.6292478,0.52,0.229,6.44E-34,10,WASL
IFT20,3.61E-38,0.8622502,0.722,0.521,8.09E-34,10,IFT20
PPIL3,5.23E-38,0.4545975,0.462,0.18,1.17E-33,10,PPIL3
SASH11,9.88E-38,0.4939947,0.453,0.168,2.21E-33,10,SASH1
PTPRF1,1.13E-37,0.4654485,0.448,0.16,2.53E-33,10,PTPRF
RPL35A1,1.55E-37,0.3673888,1,0.992,3.47E-33,10,RPL35A
LMNA3,1.69E-37,0.7988845,0.785,0.552,3.77E-33,10,LMNA
RPS212,3.03E-37,0.4772147,0.982,0.972,6.77E-33,10,RPS21
RPL27A2,3.62E-37,0.3893287,1,0.997,8.09E-33,10,RPL27A
TUBA4A2,4.44E-37,0.6044837,0.61,0.285,9.93E-33,10,TUBA4A
TCF7L2,8.56E-37,0.6177893,0.543,0.245,1.92E-32,10,TCF7L2
NCAM1,1.51E-36,0.3706791,0.287,0.071,3.38E-32,10,NCAM1
FOS1,1.59E-36,1.2846507,0.848,0.644,3.57E-32,10,FOS
RPS81,1.67E-36,0.4659015,0.996,0.992,3.73E-32,10,RPS8
UBE2Z,1.80E-36,0.7193234,0.632,0.376,4.03E-32,10,UBE2Z
RPL22L13,3.57E-36,0.8986118,0.919,0.865,7.99E-32,10,RPL22L1
EIF5,4.68E-36,0.7223762,0.843,0.771,1.05E-31,10,EIF5
RBM39,5.61E-36,0.7886644,0.879,0.823,1.26E-31,10,RBM39
ENY2,8.81E-36,0.6098345,0.906,0.883,1.97E-31,10,ENY2
BCL7C1,8.83E-36,0.7480224,0.762,0.594,1.98E-31,10,BCL7C
HNRNPK,9.96E-36,0.5624074,0.919,0.896,2.23E-31,10,HNRNPK
THBS12,1.38E-35,1.0947761,0.74,0.431,3.10E-31,10,THBS1
C12orf572,4.14E-35,0.6747823,0.897,0.82,9.26E-31,10,C12orf57
CYR612,4.77E-35,0.5247638,0.516,0.209,1.07E-30,10,CYR61
RPS181,6.00E-35,0.4152321,1,0.999,1.34E-30,10,RPS18
ZFAND3,8.60E-35,0.5988311,0.574,0.311,1.92E-30,10,ZFAND3
MMP23B1,1.26E-34,0.4097315,0.332,0.096,2.81E-30,10,MMP23B
CRK,2.56E-34,0.7231328,0.695,0.487,5.72E-30,10,CRK
CFL21,2.80E-34,0.6517209,0.628,0.37,6.27E-30,10,CFL2
ELOC,3.54E-34,0.6351099,0.87,0.84,7.93E-30,10,ELOC
CRIM11,7.73E-34,0.5768099,0.399,0.134,1.73E-29,10,CRIM1
ZFP36L22,1.63E-33,0.8528274,0.789,0.551,3.64E-29,10,ZFP36L2
MAT2A,1.83E-33,0.8778589,0.771,0.634,4.09E-29,10,MAT2A
PRRC2A,2.78E-33,0.8548014,0.709,0.526,6.22E-29,10,PRRC2A
PPP3CB,4.33E-33,0.6448869,0.511,0.241,9.69E-29,10,PPP3CB
YWHAZ1,6.42E-33,0.5344738,0.87,0.852,1.44E-28,10,YWHAZ
OGT,1.02E-32,1.047849,0.596,0.35,2.29E-28,10,OGT
ZSWIM6,1.43E-32,0.5206312,0.345,0.111,3.20E-28,10,ZSWIM6
SLCO3A1,1.47E-32,0.3505048,0.323,0.098,3.30E-28,10,SLCO3A1
VEZF1,2.02E-32,0.6016331,0.525,0.262,4.53E-28,10,VEZF1
PHF10,2.21E-32,0.4981007,0.511,0.25,4.96E-28,10,PHF10
GPM6B,3.71E-32,0.8668206,0.39,0.147,8.30E-28,10,GPM6B
ATP5F1B1,4.42E-32,0.7539616,0.933,0.899,9.88E-28,10,ATP5F1B
DNM3OS,5.62E-32,0.2694285,0.157,0.026,1.26E-27,10,DNM3OS
HNRNPA2B12,6.38E-32,0.4592772,0.982,0.942,1.43E-27,10,HNRNPA2B1
TM9SF2,7.52E-32,0.681736,0.664,0.451,1.68E-27,10,TM9SF2
SEC11C,7.81E-32,0.7327917,0.668,0.465,1.75E-27,10,SEC11C
FXR2,1.11E-31,0.4622376,0.417,0.165,2.49E-27,10,FXR2
HSPA4,1.80E-31,0.6761437,0.7,0.504,4.03E-27,10,HSPA4
UBQLN2,3.12E-31,0.5310848,0.462,0.206,6.99E-27,10,UBQLN2
MRPL521,3.82E-31,0.6013099,0.852,0.795,8.55E-27,10,MRPL52
CITED21,4.52E-31,0.7734762,0.874,0.807,1.01E-26,10,CITED2
ATXN7L3B,8.42E-31,0.7226857,0.65,0.456,1.88E-26,10,ATXN7L3B
SRSF1,8.74E-31,0.7709895,0.78,0.675,1.96E-26,10,SRSF1
HSP90AB12,1.13E-30,0.6046711,0.982,0.955,2.53E-26,10,HSP90AB1
MORF4L12,2.12E-30,0.5561479,0.924,0.905,4.75E-26,10,MORF4L1
DDX50,3.87E-30,0.7216426,0.659,0.455,8.65E-26,10,DDX50
PSMD7,4.85E-30,0.8042188,0.816,0.75,1.09E-25,10,PSMD7
PSMB11,5.86E-30,0.6840018,0.879,0.893,1.31E-25,10,PSMB1
SPRED1,1.12E-29,0.3900947,0.309,0.098,2.52E-25,10,SPRED1
S100A44,1.17E-29,0.7423239,0.942,0.805,2.63E-25,10,S100A4
NFAT5,1.35E-29,0.7978454,0.538,0.289,3.01E-25,10,NFAT5
LSM12,3.41E-29,0.6405381,0.686,0.542,7.62E-25,10,LSM12
PSMB6,4.36E-29,0.8134215,0.839,0.851,9.76E-25,10,PSMB6
PFDN21,4.50E-29,0.5787847,0.865,0.823,1.01E-24,10,PFDN2
SPAG9,9.04E-29,0.6814481,0.601,0.377,2.02E-24,10,SPAG9
UBE3A,9.19E-29,0.6709633,0.709,0.56,2.06E-24,10,UBE3A
RHEB,1.35E-28,0.6731622,0.798,0.763,3.03E-24,10,RHEB
NUMBL,1.53E-28,0.2927496,0.224,0.055,3.41E-24,10,NUMBL
DAG1,1.87E-28,0.5413061,0.556,0.311,4.18E-24,10,DAG1
CHIC2,2.21E-28,0.63582,0.556,0.327,4.95E-24,10,CHIC2
TSHZ3,3.69E-28,0.3041414,0.206,0.048,8.25E-24,10,TSHZ3
RAD50,3.91E-28,0.2572666,0.256,0.071,8.75E-24,10,RAD50
BTG3,4.75E-28,0.5404139,0.596,0.363,1.06E-23,10,BTG3
HNRNPU,6.26E-28,0.4914774,0.883,0.849,1.40E-23,10,HNRNPU
PPIG,6.54E-28,0.646638,0.749,0.669,1.46E-23,10,PPIG
SMARCA2,1.16E-27,0.5945617,0.565,0.325,2.59E-23,10,SMARCA2
EIF4A2,1.54E-27,0.6519299,0.897,0.835,3.44E-23,10,EIF4A2
EIF3D,1.80E-27,0.6747987,0.825,0.75,4.04E-23,10,EIF3D
CCSER21,6.29E-27,0.5803291,0.534,0.288,1.41E-22,10,CCSER2
IRF2BPL,7.71E-27,0.4287525,0.399,0.164,1.72E-22,10,IRF2BPL
NDUFAB1,7.93E-27,0.5700315,0.87,0.847,1.77E-22,10,NDUFAB1
PPP1R12A,1.06E-26,0.6108584,0.731,0.609,2.36E-22,10,PPP1R12A
JAG11,1.23E-26,0.3755439,0.3,0.094,2.76E-22,10,JAG1
HUWE1,1.33E-26,0.6318922,0.65,0.463,2.97E-22,10,HUWE1
IRS1,1.68E-26,0.2648841,0.238,0.064,3.75E-22,10,IRS1
PFDN6,2.32E-26,0.6579746,0.753,0.677,5.20E-22,10,PFDN6
LRP4,2.56E-26,0.3585314,0.193,0.045,5.72E-22,10,LRP4
EFNB1,2.61E-26,0.5918355,0.444,0.207,5.85E-22,10,EFNB1
PURB,2.81E-26,0.5735967,0.507,0.279,6.28E-22,10,PURB
ETF1,3.03E-26,0.6526192,0.691,0.551,6.78E-22,10,ETF1
TPM13,3.47E-26,0.4163643,0.883,0.786,7.77E-22,10,TPM1
THOC21,3.62E-26,0.7396779,0.735,0.6,8.11E-22,10,THOC2
DNAJC25,4.66E-26,0.3265421,0.336,0.126,1.04E-21,10,DNAJC25
WNK1,6.60E-26,0.6803164,0.686,0.563,1.48E-21,10,WNK1
SAP18,7.85E-26,0.5369207,0.879,0.877,1.76E-21,10,SAP18
ACVR1,1.56E-25,0.3449835,0.318,0.113,3.50E-21,10,ACVR1
PSMB5,1.87E-25,0.6338392,0.879,0.884,4.18E-21,10,PSMB5
YBX12,2.35E-25,0.4684769,0.973,0.971,5.25E-21,10,YBX1
EIF3I,7.59E-25,0.6710279,0.794,0.8,1.70E-20,10,EIF3I
GNA11,8.09E-25,0.3812047,0.381,0.16,1.81E-20,10,GNA11
TCF12,8.14E-25,0.5533339,0.507,0.286,1.82E-20,10,TCF12
COX5A,1.19E-24,0.5061339,0.915,0.904,2.67E-20,10,COX5A
ATP5MC31,1.88E-24,0.4788758,0.906,0.931,4.22E-20,10,ATP5MC3
LRP6,2.32E-24,0.5208531,0.417,0.196,5.19E-20,10,LRP6
ZFAND5,3.08E-24,0.7044924,0.722,0.61,6.90E-20,10,ZFAND5
PFN23,3.39E-24,0.5690042,0.556,0.307,7.59E-20,10,PFN2
HOXB8,3.41E-24,0.4851166,0.43,0.196,7.64E-20,10,HOXB8
EIF4E2,3.97E-24,0.6345607,0.735,0.697,8.89E-20,10,EIF4E2
VCP1,5.21E-24,0.6250505,0.812,0.745,1.17E-19,10,VCP
RBP13,5.44E-24,0.4015765,0.605,0.335,1.22E-19,10,RBP1
NRP11,5.46E-24,0.3797263,0.422,0.175,1.22E-19,10,NRP1
PRDX41,5.73E-24,0.8938992,0.789,0.695,1.28E-19,10,PRDX4
KMT2E,8.49E-24,0.6941391,0.722,0.604,1.90E-19,10,KMT2E
TNRC6B,1.36E-23,0.6420998,0.722,0.625,3.05E-19,10,TNRC6B
RPS6KB1,1.41E-23,0.4240862,0.448,0.234,3.16E-19,10,RPS6KB1
SRPRA,1.67E-23,0.6350429,0.529,0.332,3.75E-19,10,SRPRA
LIX1L,1.80E-23,0.4723807,0.448,0.229,4.02E-19,10,LIX1L
LBH1,1.82E-23,0.4816861,0.516,0.263,4.07E-19,10,LBH
RAB21,1.85E-23,0.5146825,0.57,0.376,4.14E-19,10,RAB21
NDUFS4,1.87E-23,0.6179417,0.789,0.741,4.20E-19,10,NDUFS4
AFF4,2.55E-23,0.6528217,0.574,0.383,5.71E-19,10,AFF4
NECTIN3,2.61E-23,0.2719181,0.229,0.065,5.85E-19,10,NECTIN3
ARID5B1,2.73E-23,0.4865354,0.525,0.281,6.10E-19,10,ARID5B
UBE2E2,3.27E-23,0.4518792,0.507,0.288,7.31E-19,10,UBE2E2
FILIP1L,4.82E-23,0.2837071,0.26,0.082,1.08E-18,10,FILIP1L
NR3C1,6.40E-23,0.4491108,0.43,0.215,1.43E-18,10,NR3C1
RAP1A,6.53E-23,0.6326022,0.686,0.571,1.46E-18,10,RAP1A
SMDT1,7.10E-23,0.4410636,0.816,0.8,1.59E-18,10,SMDT1
PITPNA,7.62E-23,0.4408079,0.471,0.255,1.71E-18,10,PITPNA
ADGRL21,1.21E-22,0.3543005,0.296,0.104,2.72E-18,10,ADGRL2
HIPK3,1.27E-22,0.5945102,0.399,0.187,2.85E-18,10,HIPK3
UBE2K,1.43E-22,0.6338532,0.709,0.633,3.20E-18,10,UBE2K
Sep-73,1.73E-22,0.5602342,0.865,0.852,3.87E-18,10,7-Sep
CSDE1,1.91E-22,0.4992819,0.83,0.799,4.28E-18,10,CSDE1
ZSWIM8,1.92E-22,0.5017875,0.377,0.168,4.29E-18,10,ZSWIM8
RICTOR,1.96E-22,0.7617428,0.484,0.273,4.39E-18,10,RICTOR
SON,2.36E-22,0.5377484,0.852,0.828,5.27E-18,10,SON
BAX1,2.56E-22,0.4831429,0.839,0.842,5.73E-18,10,BAX
NDEL1,2.99E-22,0.4027931,0.395,0.186,6.70E-18,10,NDEL1
AUP1,3.51E-22,0.5445714,0.735,0.676,7.86E-18,10,AUP1
CFAP36,5.05E-22,0.4496538,0.511,0.304,1.13E-17,10,CFAP36
SUSD6,5.84E-22,0.4123753,0.3,0.113,1.31E-17,10,SUSD6
WDR26,6.03E-22,0.5633119,0.578,0.401,1.35E-17,10,WDR26
SOX44,6.05E-22,0.7022251,0.794,0.614,1.35E-17,10,SOX4
CBX6,6.31E-22,0.5130274,0.525,0.302,1.41E-17,10,CBX6
ARPP19,6.54E-22,0.6151089,0.677,0.598,1.46E-17,10,ARPP19
CDH21,7.93E-22,0.2690603,0.332,0.126,1.77E-17,10,CDH2
SETD7,8.03E-22,0.2943434,0.206,0.058,1.80E-17,10,SETD7
PGP1,1.00E-21,0.6235053,0.758,0.693,2.25E-17,10,PGP
VAPA,1.73E-21,0.6148508,0.821,0.826,3.87E-17,10,VAPA
HNRNPM1,1.98E-21,0.5604682,0.857,0.804,4.43E-17,10,HNRNPM
TSC22D2,2.27E-21,0.5170792,0.43,0.22,5.08E-17,10,TSC22D2
BAG6,3.14E-21,0.6117671,0.637,0.483,7.03E-17,10,BAG6
UBAP2L,3.56E-21,0.6052994,0.61,0.46,7.98E-17,10,UBAP2L
YIF1A1,3.66E-21,0.5459486,0.713,0.632,8.20E-17,10,YIF1A
PDAP1,4.05E-21,0.5375853,0.794,0.771,9.05E-17,10,PDAP1
MED13,4.46E-21,0.480483,0.502,0.292,9.98E-17,10,MED13
DHX15,6.31E-21,0.7592605,0.637,0.492,1.41E-16,10,DHX15
ATP5F1C,6.86E-21,0.5562053,0.834,0.857,1.54E-16,10,ATP5F1C
THRA,6.88E-21,0.5443232,0.435,0.237,1.54E-16,10,THRA
TNRC6A,9.43E-21,0.5186626,0.574,0.412,2.11E-16,10,TNRC6A
UBE2A,1.21E-20,0.5832149,0.646,0.536,2.70E-16,10,UBE2A
PSMC41,1.70E-20,0.7325641,0.691,0.593,3.81E-16,10,PSMC4
RAP1B2,2.13E-20,0.2552961,0.924,0.876,4.76E-16,10,RAP1B
RPL91,2.57E-20,0.3312593,0.991,0.99,5.74E-16,10,RPL9
VPS36,3.46E-20,0.6563914,0.601,0.46,7.74E-16,10,VPS36
COPS62,3.64E-20,0.6689045,0.735,0.71,8.15E-16,10,COPS6
CCNL1,5.34E-20,0.683666,0.686,0.572,1.20E-15,10,CCNL1
SNRPF2,6.70E-20,0.4088463,0.933,0.895,1.50E-15,10,SNRPF
DNAJC19,7.02E-20,0.5202542,0.74,0.731,1.57E-15,10,DNAJC19
FERMT22,9.47E-20,0.4737106,0.574,0.374,2.12E-15,10,FERMT2
PSMC5,1.04E-19,0.6267809,0.807,0.8,2.33E-15,10,PSMC5
RBM15,1.22E-19,0.3699115,0.336,0.148,2.73E-15,10,RBM15
EIF3M,1.31E-19,0.5074257,0.821,0.811,2.94E-15,10,EIF3M
WAPL,1.87E-19,0.5428767,0.565,0.412,4.19E-15,10,WAPL
PPP1R12B,2.16E-19,0.3052777,0.242,0.085,4.84E-15,10,PPP1R12B
SEM12,2.59E-19,0.3772874,0.892,0.9,5.80E-15,10,SEM1
ATP2A21,2.90E-19,0.5784397,0.637,0.52,6.49E-15,10,ATP2A2
SMC6,3.42E-19,0.5215838,0.561,0.402,7.64E-15,10,SMC6
UBE2L3,3.60E-19,0.4916819,0.83,0.851,8.06E-15,10,UBE2L3
EIF5AL1,4.58E-19,0.5990534,0.673,0.567,1.02E-14,10,EIF5AL1
RC3H2,4.64E-19,0.430582,0.471,0.279,1.04E-14,10,RC3H2
UBL3,6.60E-19,0.4302934,0.368,0.176,1.48E-14,10,UBL3
PUM1,6.75E-19,0.5695636,0.628,0.488,1.51E-14,10,PUM1
RBM42,7.29E-19,0.5327539,0.686,0.584,1.63E-14,10,RBM42
MTCH2,7.71E-19,0.5189492,0.744,0.711,1.73E-14,10,MTCH2
MBTD1,9.23E-19,0.4581291,0.372,0.183,2.07E-14,10,MBTD1
PDGFRA1,1.36E-18,0.3780438,0.256,0.089,3.04E-14,10,PDGFRA
EWSR1,1.72E-18,0.6020917,0.758,0.734,3.84E-14,10,EWSR1
CUL3,2.32E-18,0.4793508,0.561,0.407,5.19E-14,10,CUL3
RPGRIP1L,2.77E-18,0.3180495,0.314,0.135,6.20E-14,10,RPGRIP1L
EIF3F,3.76E-18,0.4305576,0.883,0.871,8.41E-14,10,EIF3F
TOP2B,4.09E-18,0.5879756,0.668,0.551,9.15E-14,10,TOP2B
SNHG251,7.10E-18,0.3825403,0.789,0.763,1.59E-13,10,SNHG25
KPNA4,7.73E-18,0.6125753,0.57,0.423,1.73E-13,10,KPNA4
SLMAP,9.31E-18,0.4236103,0.444,0.262,2.08E-13,10,SLMAP
KLF61,9.44E-18,0.5482883,0.641,0.464,2.11E-13,10,KLF6
GATAD2B,9.80E-18,0.4840784,0.462,0.282,2.19E-13,10,GATAD2B
ELAVL1,9.81E-18,0.4713269,0.749,0.708,2.20E-13,10,ELAVL1
CELF1,1.26E-17,0.536634,0.682,0.59,2.82E-13,10,CELF1
ZCRB1,1.37E-17,0.4572752,0.776,0.743,3.06E-13,10,ZCRB1
EED,1.55E-17,0.4541386,0.386,0.207,3.47E-13,10,EED
ADIPOR1,1.89E-17,0.4968857,0.673,0.598,4.24E-13,10,ADIPOR1
SYNCRIP,2.02E-17,0.4578669,0.749,0.69,4.53E-13,10,SYNCRIP
PUM2,2.13E-17,0.4856033,0.507,0.335,4.78E-13,10,PUM2
GGNBP2,2.65E-17,0.5873814,0.65,0.562,5.93E-13,10,GGNBP2
TMEM39A,4.45E-17,0.3730764,0.3,0.132,9.95E-13,10,TMEM39A
C17orf49,4.78E-17,0.3799261,0.381,0.2,1.07E-12,10,C17orf49
CHD31,6.89E-17,0.4633807,0.538,0.378,1.54E-12,10,CHD3
HIPK1,8.32E-17,0.4672925,0.484,0.309,1.86E-12,10,HIPK1
RASAL2,1.04E-16,0.4144016,0.363,0.184,2.32E-12,10,RASAL2
EEA1,1.24E-16,0.4542978,0.484,0.313,2.78E-12,10,EEA1
ATXN7L3,1.27E-16,0.3597406,0.341,0.167,2.84E-12,10,ATXN7L3
ATP2B11,1.36E-16,0.4765278,0.632,0.477,3.05E-12,10,ATP2B1
AMD1,1.51E-16,0.5931115,0.7,0.617,3.39E-12,10,AMD1
TAB2,1.54E-16,0.4482274,0.507,0.335,3.45E-12,10,TAB2
FBXO11,1.66E-16,0.4929069,0.502,0.334,3.71E-12,10,FBXO11
TAOK11,2.09E-16,0.4926957,0.587,0.467,4.68E-12,10,TAOK1
ZEB21,2.22E-16,0.5841875,0.713,0.638,4.98E-12,10,ZEB2
NUP153,3.27E-16,0.4944934,0.43,0.257,7.32E-12,10,NUP153
SPIN1,3.55E-16,0.3878873,0.475,0.306,7.94E-12,10,SPIN1
INO80D,4.33E-16,0.3658774,0.327,0.155,9.69E-12,10,INO80D
SAP30L,5.57E-16,0.4011609,0.368,0.195,1.25E-11,10,SAP30L
EPC2,6.57E-16,0.3751736,0.327,0.158,1.47E-11,10,EPC2
COPB1,6.62E-16,0.5361198,0.601,0.486,1.48E-11,10,COPB1
KRTCAP22,6.97E-16,0.454456,0.731,0.707,1.56E-11,10,KRTCAP2
ZFP36L11,7.62E-16,0.6192632,0.65,0.505,1.71E-11,10,ZFP36L1
SART1,9.05E-16,0.528594,0.484,0.331,2.03E-11,10,SART1
ACTB3,9.60E-16,0.2902829,0.996,0.996,2.15E-11,10,ACTB
RORA,1.06E-15,0.3006836,0.166,0.05,2.37E-11,10,RORA
SRSF6,1.69E-15,0.5242757,0.704,0.673,3.78E-11,10,SRSF6
ARID2,2.02E-15,0.4522171,0.471,0.307,4.51E-11,10,ARID2
NUTF2,2.15E-15,0.446517,0.812,0.83,4.80E-11,10,NUTF2
ROCK1,3.21E-15,0.5201218,0.641,0.538,7.18E-11,10,ROCK1
C20orf194,3.39E-15,0.3515495,0.265,0.113,7.60E-11,10,C20orf194
GNAS2,3.49E-15,0.2934691,0.901,0.898,7.82E-11,10,GNAS
GNAI22,3.58E-15,0.4123043,0.776,0.742,8.02E-11,10,GNAI2
KLF13,3.69E-15,0.4937277,0.507,0.357,8.25E-11,10,KLF13
DLGAP4,5.88E-15,0.4294774,0.493,0.325,1.32E-10,10,DLGAP4
GNB2,6.25E-15,0.4829618,0.78,0.8,1.40E-10,10,GNB2
MEA1,6.32E-15,0.4436206,0.731,0.705,1.41E-10,10,MEA1
TUBA1C,6.60E-15,0.4268883,0.839,0.803,1.48E-10,10,TUBA1C
ZMIZ1,9.75E-15,0.4197323,0.453,0.288,2.18E-10,10,ZMIZ1
CREBBP,1.16E-14,0.4179441,0.457,0.312,2.59E-10,10,CREBBP
SPRY2,1.22E-14,0.3618588,0.381,0.215,2.73E-10,10,SPRY2
YAF2,1.28E-14,0.4413905,0.561,0.445,2.87E-10,10,YAF2
PRKCA1,1.43E-14,0.3362777,0.404,0.229,3.19E-10,10,PRKCA
PTPN9,1.51E-14,0.3542697,0.287,0.132,3.39E-10,10,PTPN9
STRN3,1.88E-14,0.4072448,0.453,0.297,4.22E-10,10,STRN3
PSMD1,1.94E-14,0.540906,0.65,0.6,4.33E-10,10,PSMD1
CUEDC2,2.01E-14,0.5472218,0.704,0.688,4.50E-10,10,CUEDC2
GRB10,2.08E-14,0.3523121,0.395,0.233,4.65E-10,10,GRB10
MTMR3,2.34E-14,0.3094786,0.247,0.103,5.23E-10,10,MTMR3
DDRGK1,3.33E-14,0.4675059,0.538,0.425,7.46E-10,10,DDRGK1
EMC21,3.86E-14,0.408697,0.435,0.276,8.63E-10,10,EMC2
EIF3A,4.87E-14,0.4722588,0.771,0.762,1.09E-09,10,EIF3A
R3HDM1,6.12E-14,0.4510855,0.453,0.304,1.37E-09,10,R3HDM1
RACK11,6.84E-14,0.3262527,0.987,0.983,1.53E-09,10,RACK1
RPL101,6.97E-14,0.2755271,1,0.998,1.56E-09,10,RPL10
ANKRD17,8.19E-14,0.5011184,0.529,0.408,1.83E-09,10,ANKRD17
RAB11B,8.63E-14,0.454613,0.65,0.584,1.93E-09,10,RAB11B
POLR2I,1.03E-13,0.3958151,0.785,0.777,2.30E-09,10,POLR2I
RAB10,1.13E-13,0.4971387,0.695,0.678,2.53E-09,10,RAB10
HES11,1.36E-13,0.6546852,0.426,0.251,3.04E-09,10,HES1
ERGIC2,1.84E-13,0.4000559,0.574,0.458,4.12E-09,10,ERGIC2
SNX1,1.84E-13,0.4151749,0.457,0.315,4.12E-09,10,SNX1
WRNIP1,2.06E-13,0.3769421,0.489,0.352,4.62E-09,10,WRNIP1
EVI5,2.63E-13,0.3322197,0.404,0.241,5.90E-09,10,EVI5
FAM76A,2.64E-13,0.3054283,0.269,0.126,5.90E-09,10,FAM76A
CTNNB11,2.72E-13,0.4618336,0.7,0.613,6.08E-09,10,CTNNB1
EIF4G1,3.69E-13,0.5428847,0.668,0.614,8.27E-09,10,EIF4G1
COPS2,4.13E-13,0.4092665,0.574,0.47,9.24E-09,10,COPS2
